name,price,img
"XIAOMI Redmi Note 8 - 6.3"" - 4 Go - 64 Go - Neptune Blue - Garantie 1 an",579.00 TND,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7"
"ZTE Blade A7 - 6.01"" - 2 Go - 32 Go - Noir - Garantie 1 an",269.00 TND,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7"
"Infinix Zero 8 - 6.85"" - 8 Go - 128 Go - Black Diamond - Garantie 1 an",899.00 TND,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7"
"Infinix Zero 8 - 6.85"" - 8 Go - 128 Go - Silver Diamond - Garantie 1 an",899.00 TND,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7"
"ZTE Blade V10 - 6.3"" - 4 Go - 64 Go - Vert turquoise - Garantie 1 an",409.00 TND,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7"
"Tecno Spark 6 Go - 6.52"" - 3 Go - 64 Go - Ice Jadeite - Garantie 1 An",369.00 TND,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7"
"XIAOMI Redmi Note 8 - 6.3"" - 4 Go - 64 Go -Space Black- Garantie 1 an",579.00 TND,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7"
"Evertek V5 Nano - 4"" - 512 Mo - 4 Go - Noir - Garantie 1 An",99.00 TND,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7"
"XIAOMI Redmi 9A - 6.53"" - 2 Go - 32 Go - Peacock Green - Garantie 1 an",309.00 TND,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7"
"Nokia C1 - 5.45"" - 1 Go - 16 Go - Noir - Garantie 1 an",199.00 TND,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7"
"XIAOMI Redmi Note 9 Pro - 6.67"" - 6 Go - 128 Go - Interstellar Gray - Garantie 1 an",899.00 TND,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7"
"Oppo A12 - 6.22"" - 3Go - 32 Go -Blue- Garantie 1 An",429.00 TND,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7"
"Tecno Spark 6 Go - 6.52"" - 3 Go - 64 Go - Aqua Bleu - Garantie 1 An",369.00 TND,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7"
"Nokia C1 - 5.45"" - 1 Go - 16 Go - Rouge - Garantie 1 an",194.99 TND,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7"
"XIAOMI Redmi 9A - 6.53"" - 2 Go - 32 Go - Granite Gray - Garantie 1 an",309.00 TND,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7"
"Samsung Galaxy A01 Core - 5.3"" - 1Go - 16Go - black - Garantie 1 an",237.00 TND,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7"
"XIAOMI Redmi Note 9 - 6.53"" - 4 Go - 128 Go+Pochette et Anticasse - Midnight Grey - Garantie 1 an",639.00 TND,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7"
"Oukitel C15 Pro - 6.088-inch, 3GB + 32GB, Android 9.0 - Dual Nano SIM - Black Bleu",319.00 TND,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7"
"Samsung Galaxy A21s - 6.5"" - 4Go - 64Go + Pochette et Anticasse - Bleu - Garantie 1 an",649.00 TND,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7"
"ZTE Blade A5 - 5.45"" - 1 Go - 16 Go - Noir - Garantie 1 an",189.00 TND,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7"
Samsung Galaxy A51 - 6.5'' - 6 Go - 128 Go - Noir - Garantie 1 An,"1,139.00 TND","data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7"
"Oppo A12 - 6.22"" - 3Go - 32Go - Bleu - Garantie 1 An",417.00 TND,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7"
"Nokia C1 - 5.45"" - 1 Go - 16 Go - Rouge - Garantie 1 an",199.00 TND,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7"
"Samsung Galaxy A01 Core - 5.3"" - 1Go - 16Go - Bleu - Garantie 1 an",237.00 TND,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7"
"Huawei Y8p - 6.3 "" - 6Go - 128Go - Breathing Crystal - Garantie 1 an",649.00 TND,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7"
"Tecno Camon 15 Pro - 6.6"" - 6 Go - 128 Go - Ice Jadeite - Garantie 1 an",630.00 TND,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7"
"Nokia 2.4 - 6.5""- 2Go - 32Go - Gris - Garantie 1 An",379.00 TND,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7"
